Date,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2010-01-04,6.407193227963411,6.439314685252985,6.3756721867282895,6.424604892730713,493729600
2010-01-05,6.442317391160505,6.472037185269431,6.4017897068824965,6.435712814331055,601904800
2010-01-06,6.435713482992475,6.461230768036579,6.326740358855194,6.33334493637085,552160000
2010-01-07,6.3567611009454685,6.364266303537748,6.275706516196401,6.321637153625488,477131200
2010-01-08,6.313228509611582,6.364263059602432,6.276004326975004,6.363662242889404,447610800
2010-01-11,6.3882811039097005,6.394285265000137,6.257693806687277,6.307527542114258,462229600
2010-01-12,6.279906270670219,6.297318733848555,6.196751067341267,6.235776901245117,594459600
2010-01-13,6.2402825872169565,6.33214344689604,6.127106554697644,6.323737621307373,605892000
2010-01-14,6.3075263799691825,6.31803325912976,6.274804108867116,6.287112236022949,432894000
2010-01-15,6.332142521001956,6.352256457862323,6.18024087381016,6.182042121887207,594067600
2010-01-19,6.254090625461127,6.460028518579311,6.2213691535354,6.4555253982543945,730007600
2010-01-20,6.451624005326168,6.470836921805907,6.289215440714218,6.356160640716553,612152800
2010-01-21,6.366667349187989,6.403591739915323,6.2204688225918865,6.246285915374756,608154400
2010-01-22,6.207558989702684,6.22917316356756,5.918765714338398,5.936477184295654,881767600
2010-01-25,6.079375384445796,6.145118956806838,6.009728705823235,6.096186637878418,1065699600
2010-01-26,6.182644167900338,6.415600436728625,6.081476445771641,6.18234395980835,1867110000
2010-01-27,6.209660962263698,6.321635754474203,5.989913488740547,6.24058198928833,1722568400
2010-01-28,6.152022568121193,6.169133623355006,5.964996982868184,5.98270845413208,1173502400
2010-01-29,6.03644475859432,6.070067253939074,5.711326699843136,5.765663146972656,1245952400
2010-02-01,5.77497006840278,5.8839431871622665,5.742848608240047,5.845817565917969,749876400
2010-02-02,5.881241202303739,5.893549330635148,5.805290174496533,5.879739761352539,698342400
2010-02-03,5.859026254109648,6.010027697131553,5.836511051116827,5.980907917022705,615328000
2010-02-04,5.905858018692982,5.955091341649576,5.750954659229583,5.765364646911621,757652000
2010-02-05,5.78277651208096,5.883944239528654,5.729340270521389,5.867733001708984,850306800
2010-02-08,5.874636492542973,5.9403804459120915,5.823902138604233,5.827504634857178,478270800
2010-02-09,5.896551391264354,5.9289730587479115,5.846417849802574,5.889647006988525,632886800
2010-02-10,5.8806391313211535,5.901954299019707,5.831706833123664,5.8575239181518555,370361600
2010-02-11,5.850320970675201,5.996519093612496,5.825704309857831,5.964097023010254,550345600
2010-02-12,5.947285850898843,6.053257296478956,5.868933548000937,6.015431880950928,655468800
2010-02-16,6.062263351316038,6.114798563441141,6.049655012633335,6.106092929840088,543737600
2010-02-17,6.129807022476294,6.133409518567146,6.029839760013951,6.0805745124816895,436396800
2010-02-18,6.052955719680547,6.120801936115326,6.0316417501442245,6.091982364654541,422825200
2010-02-19,6.059860656451437,6.100087327665818,6.037345055528109,6.054156303405762,415469600
2010-02-22,6.074270744768748,6.079073672552898,5.97970721709501,6.016631603240967,390563600
2010-02-23,6.0040225261519184,6.0439493885588895,5.87523650054763,5.9157633781433105,575094800
2010-02-24,5.9508877378017075,6.0472525151801415,5.939179624169119,6.023837089538574,460566400
2010-02-25,5.925369713266399,6.089879680365529,5.910659922863521,6.064062595367432,665126000
2010-02-26,6.075471408111891,6.159227449643165,6.064063903072691,6.142716407775879,507460800
2010-03-01,6.176639467181527,6.289215086984138,6.167633626019473,6.273905277252197,550093600
2010-03-02,6.302123703573347,6.329142028985736,6.236379739675086,6.269702434539795,566546400
2010-03-03,6.272403234292958,6.300321780109644,6.2423832322173265,6.2841105461120605,372052800
2010-03-04,6.282609540776144,6.331842049586998,6.263095619941465,6.32553768157959,366041200
2010-03-05,6.4525239710825835,6.5954197884849295,6.443217522047294,6.572904586791992,899620400
2010-03-08,6.604726524157207,6.6071277878625185,6.551891107215477,6.576807975769043,429889600
2010-03-09,6.553692168116807,6.754526547875784,6.541083830574317,6.69508695602417,920259200
2010-03-10,6.719402198168654,6.768935316065636,6.70048949485355,6.749722003936768,596218000
2010-03-11,6.72180494243937,6.769536018371582,6.704092667474048,6.769536018371582,405700400
2010-03-12,6.825674194800859,6.836481685359875,6.777042090532663,6.8025593757629395,416323600
2010-03-15,6.765932592444959,6.769534286503013,6.611929108555397,6.719701766967773,493502800
