Source,Ticker,Volatility(%)
Kaggle,AAPL,1.4593012249654735
Kaggle,AMZN,1.8234785907175612
Kaggle,GOOGL,1.3879633455801248
Kaggle,MSFT,1.4210172899610198
Yahoo,AAPL,1.7823607895807607
Yahoo,AMZN,2.0669740255821
Yahoo,BTC-USD,3.5358923638269646
Yahoo,GOOGL,1.7399223279740503
Yahoo,MSFT,1.6089639670232192
Yahoo,QQQ,1.3025927759207627
Yahoo,SPY,1.0873742653916911
Yahoo,TSLA,3.6481516810801575
