Date,Open,High,Low,Close,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2010-01-04,15.581969311001453,15.645595458295071,15.514617107714663,15.576998710632324,78169752
2010-01-05,15.587685214441919,15.604088762845768,15.447511073144824,15.508401870727539,120067812
2010-01-06,15.554878721182552,15.554878721182552,15.070233833166926,15.11745548248291,158988852
2010-01-07,15.145787131571746,15.160699878266776,14.729489922624955,14.76552677154541,256315428
2010-01-08,14.71333508374759,14.99293796596369,14.64150764003609,14.962368965148926,188783028
2010-01-11,15.023012984966588,15.023012984966588,14.764037879811838,14.939753532409668,288227484
2010-01-12,14.853758076662158,14.866433674837447,14.613920945888562,14.675558090209961,193937868
2010-01-13,14.327856339944463,14.623365529018814,14.263485741718624,14.591304779052734,259604136
2010-01-14,14.512021520707163,14.768014061101619,14.484931370749667,14.659900665283203,169434396
2010-01-15,14.746638500135843,14.752107296755863,14.36637812524865,14.415092468261719,217162620
2010-01-19,14.444916686364722,14.674066268368604,14.322885048322975,14.604475975036621,172495332
2010-01-20,14.56371576394547,14.56371576394547,14.298032082386147,14.425281524658203,129897972
2010-01-21,14.50058967189256,14.584594521046384,14.222477578812109,14.489156723022461,252055692
2010-01-22,14.029861935247286,14.181468082831202,13.293200610772004,13.669733047485352,271743984
2010-01-25,13.584732522721277,13.666502114937794,13.30935483564237,13.420948028564453,176619204
2010-01-26,13.370495659940286,13.659542496916327,13.328741861300633,13.481093406677246,174045780
2010-01-27,13.452512919892339,13.611079626321914,13.30438561135942,13.47314167022705,158417424
2010-01-28,13.532541862562208,13.594924412420125,13.187324764908512,13.279034614562988,129034836
2010-01-29,13.383420175406552,13.445553627481699,13.06330517514195,13.170921325683594,165454380
2010-02-01,13.286738401759562,13.316812048723884,13.179868602012386,13.247469902038574,89941968
2010-02-02,13.29568555907935,13.29568555907935,13.113011270783256,13.200247764587402,163684152
2010-02-03,13.13935652100288,13.473139692116895,13.128420822362138,13.441327095031738,119844036
2010-02-04,13.346386918927815,13.371239919118052,13.06206158790237,13.09238338470459,134972892
2010-02-05,13.132646048435186,13.259400143898661,12.985016947262777,13.204473495483398,126113760
2010-02-08,13.23454604028963,13.470656180360905,13.210438439832188,13.25865364074707,107664228
2010-02-09,13.409514224025036,13.45897301803645,13.298418287634778,13.332468032836914,112671216
2010-02-10,13.273566538239281,13.366021786940646,13.114999843401526,13.283011436462402,106873020
2010-02-11,13.25492440979878,13.433125335323792,13.159983871207997,13.331473350524902,96303600
2010-02-12,13.246227220859287,13.350114463353371,13.184838228542615,13.249954223632812,91096812
2010-02-16,13.34315611871227,13.523593255598424,13.279281824988338,13.45325756072998,146029824
